id,tweet_text,tweet_date,sentiment,query_used
1031731692220952581,@marcelarras Se não provar é mentira :),Tue Aug 21 02:36:18 +0000 2018,Positivo,:)
1031733294373720065,@HiramYT_ MENTIRA :),Tue Aug 21 02:42:40 +0000 2018,Positivo,:)
1031723684694814721,"mentira, sinto falta do candy crush :)",Tue Aug 21 02:04:29 +0000 2018,Positivo,:)
1031708843896696837,Isso e mentira a melhor loja é a OverMc passem la :D,Tue Aug 21 01:05:31 +0000 2018,Positivo,:)
1031701000284000257,@Gabrielmelo0304 mentira KKKKKKKKKK você que é rico me dá um all star de presente :),Tue Aug 21 00:34:21 +0000 2018,Positivo,:)
1031617468832403458,fingindo demência enquanto percebo mentiras de pessoas q chamo de amigos :),Mon Aug 20 19:02:25 +0000 2018,Positivo,:)
1031596608285224962,Mentira gosto de ser flop pq eu falo sozinha :),Mon Aug 20 17:39:32 +0000 2018,Positivo,:)
1031492743070212096,@a_amdds_ N sabes pq é mentira :),Mon Aug 20 10:46:48 +0000 2018,Positivo,:)
1031582644751007744,@aimegamasilva5 e serio :) mentira mas eu lembro e xono,Mon Aug 20 16:44:03 +0000 2018,Positivo,:)
1031552902651949056,Mentira agora no Brasil tem apelido :) https://t.co/PDUH93kDV0,Mon Aug 20 14:45:51 +0000 2018,Positivo,:)
1031534242096979969,@raulrompam Todo era mentira :D,Mon Aug 20 13:31:42 +0000 2018,Positivo,:)
1031412537613590528,"mentira, na verdade eu vou ficar acordado remoendo isso :)) https://t.co/vhtT8UU2sF",Mon Aug 20 05:28:06 +0000 2018,Positivo,:)
1031359523011944448,mentira dele eu sou mto bem humorado e feliz com a vida :D:D:D:D https://t.co/TTHU0XikUH,Mon Aug 20 01:57:26 +0000 2018,Positivo,:)
1031334504684761088,"Mentira, sinto o cheiro do detergente do chao pq a minha irmã o está a lavar :)",Mon Aug 20 00:18:01 +0000 2018,Positivo,:)
1031353307204407302,"O teu amor é uma mentira que a minha vaidade quer E o meu, poesia de cego, você não pode ver... :)",Mon Aug 20 01:32:44 +0000 2018,Positivo,:)
1031349426361647104,@notalive01 @ddasilva201 verdade ou mentira :p,Mon Aug 20 01:17:19 +0000 2018,Positivo,:)
1031265570795253760,Campeonato português campeonato da mentira :),Sun Aug 19 19:44:06 +0000 2018,Positivo,:)
1031238762817368072,"@dangereffects @OSmaiilyiz Mentiras ? Ta bom man vcs tiveram a razão em 🤗👏 Creio que demoted nem foi pelo ""aviso"" ja que lá levam qualquer coisa pro pessoal :D",Sun Aug 19 17:57:35 +0000 2018,Positivo,:)
1031169230882922496,Uma relação baseada em mentiras :) https://t.co/2toCTIpJLa,Sun Aug 19 13:21:17 +0000 2018,Positivo,:)
1030923491837702145,@uDrezzy Mentira Dreezy se ficou saboroso tá ótimo :-),Sat Aug 18 21:04:48 +0000 2018,Positivo,:)
1030889371472486400,"@wtfkmarina Mentira, meu amigo felipe tb me salva :)",Sat Aug 18 18:49:13 +0000 2018,Positivo,:)
1030868579699318784,"@Ampulzera @Mala_Br sim mano é mentira, eu preciso mentir tenho medo de descobrirem q eu jogo minecraft :D!",Sat Aug 18 17:26:36 +0000 2018,Positivo,:)
1030835426679029761,Do you miss anyone right now? 😢 — q? mentira eu traduzir no google kkkkk sim sinto sim :) https://t.co/gXitj5Yp5y,Sat Aug 18 15:14:52 +0000 2018,Positivo,:)
1030826358124027904,xd ate parece q e mentira numero 6 é mpt msma zona btw :) — Ahhhh só percebi agr sry mb https://t.co/Rcrzda0Fmx,Sat Aug 18 14:38:50 +0000 2018,Positivo,:)
1030790109912866816,mentira nctzens pf nao derrubem minha conta :P so to pedindo p meterem uma musica cheia d auto tune no album com uns skrrr pra eu me acabar.,Sat Aug 18 12:14:48 +0000 2018,Positivo,:)
1030772786283859968,Crushsuhshuh :D — Mentiraaaaa siempre toy más solo que la 1 XDDDDDD https://t.co/9VNM7a63wj,Sat Aug 18 11:05:57 +0000 2018,Positivo,:)
1030642667586314240,@gilliandersxon mentira vai tudo pras coxas também :) só celulite,Sat Aug 18 02:28:55 +0000 2018,Positivo,:)
1030753842709835777,Mentira. Boris Casoy desmentiu isso ao vivo na cara do Bolsonaro. rs :) https://t.co/AFdUKvCxx8,Sat Aug 18 09:50:41 +0000 2018,Positivo,:)
1030641743958614016,"parece muito mentira cara... mas tá acontecendo e isso é surreal. vai demorar décadas para isso acontecer aqui no Brasil mas até lá, eu e mais um monte de pessoas vamos lutar pela Legalização e por essa maravilha :)) https://t.co/3h9R7x5UjS",Sat Aug 18 02:25:14 +0000 2018,Positivo,:)
1030623625001541633,famosinhaaaaa mentira &lt;3 — &gt;:D https://t.co/BuRJdPAEE3,Sat Aug 18 01:13:14 +0000 2018,Positivo,:)
1030672963765522432,"@0creativity_ no, mentira. Seguro que tu boca sabe a manzana roja guiu :p",Sat Aug 18 04:29:18 +0000 2018,Positivo,:)
1030690694204203008,@juckxs MENTIRA!!! Quando?! :D,Sat Aug 18 05:39:45 +0000 2018,Positivo,:)
1030618222377222144,:) Mentira. https://t.co/wZZIC9ikRJ,Sat Aug 18 00:51:46 +0000 2018,Positivo,:)
1030608975266566144,"Oi vc é tão bonitinha :) — oi, mentira, sou linda https://t.co/gEummqSX84",Sat Aug 18 00:15:02 +0000 2018,Positivo,:)
1030519687854075905,@invhopeworld LKSNDKDKS aaaai mentira que eh tua fic fav 💓💓 menina eu apaixonei demais nessa fanfic e a autora eh um anjo :)) espero que tenha gostado do trailer,Fri Aug 17 18:20:14 +0000 2018,Positivo,:)
1030470427666198528,@saracptf toda a gente sabe que isso é mentira :p,Fri Aug 17 15:04:29 +0000 2018,Positivo,:)
1030455421042081793,"mentira, lembrei que não sou musico e que não entendo nada de musica, então não sou ninguem pra comentar #Sweetener :)",Fri Aug 17 14:04:51 +0000 2018,Positivo,:)
1030438102089785344,@Silvia_dePaulaa Mentira. Nem posso... A vida é tristi pros gordins que tao tentando emagrecer... :),Fri Aug 17 12:56:02 +0000 2018,Positivo,:)
1030420834953908225,"mentira, foram 3 pessoas (contando comigo), cada aula com 30min (cada dois horários no caso) e ainda nem teve aula de artes e sai dois horários mais cedo :))))) https://t.co/DW38PFFQAm",Fri Aug 17 11:47:26 +0000 2018,Positivo,:)
1030240116806221825,@dosogas es mentira :),Thu Aug 16 23:49:19 +0000 2018,Positivo,:)
1030223992781717505,@LycanlitosV @Senorita_Azuul Mentira :D,Thu Aug 16 22:45:15 +0000 2018,Positivo,:)
1030210102492585984,@martiim17 Que mentira :))),Thu Aug 16 21:50:03 +0000 2018,Positivo,:)
1030155652033912834,@_ines7_ até parece mentira :),Thu Aug 16 18:13:41 +0000 2018,Positivo,:)
1030126526652665861,Mentira q é comigo : ) https://t.co/afY1vxuYFa,Thu Aug 16 16:17:57 +0000 2018,Positivo,:)
1029945932706664450,"@sadivward Ollie. :D Mentira, no sé.",Thu Aug 16 04:20:20 +0000 2018,Positivo,:)
1029958187640872960,@Blurry_Muke Que linda mentira :D #iHeartRadioMMVAs #MMVAs #FFGroup5SOS,Thu Aug 16 05:09:02 +0000 2018,Positivo,:)
1029900853996601345,"mentira, pq a gente dá um jeito e estuda mesmo assim :)",Thu Aug 16 01:21:12 +0000 2018,Positivo,:)
1029885690853695494,"@arthesnroses mentira??? pode ver sim é incrível, pra mim o único filme de romance que prestou nesse século :)",Thu Aug 16 00:20:57 +0000 2018,Positivo,:)
1029841394406514693,@megsgfx Mentira :)),Wed Aug 15 21:24:56 +0000 2018,Positivo,:)
1029818070703980545,@L_x_Jauregui Mentira :),Wed Aug 15 19:52:15 +0000 2018,Positivo,:)
1029816349974044675,@linebyun eU NÃO SEI se for mentira eu mato alguém :p,Wed Aug 15 19:45:25 +0000 2018,Positivo,:)
